authority_code,authority_name,tier,tier_label,region,election_year,fi_value,n_parties,turnout_pct,is_whole_council,n_wards_observed
E09000014,Haringey,2,London Borough,London,2014,3.042818231253689,7,13.295588366788236,False,19
E09000014,Haringey,2,London Borough,London,2018,2.482449412127749,11,13.491271484799364,False,19
E09000014,Haringey,2,London Borough,London,2022,1.974491127614855,9,23.39346328380934,True,44
E09000015,Harrow,2,London Borough,London,2014,2.9765474037012103,7,14.212798509579573,False,21
E09000015,Harrow,2,London Borough,London,2018,2.353459216848107,6,13.875613588867111,False,21
E09000015,Harrow,2,London Borough,London,2022,2.497243025565306,10,27.46717383864849,True,55
E09000016,Havering,2,London Borough,London,2014,5.935295577930512,16,16.624047265890123,False,18
E09000016,Havering,2,London Borough,London,2016,4.353293892309001,8,39.07444246675741,False,1
E09000016,Havering,2,London Borough,London,2018,4.858928134687645,15,13.760514227504714,False,18
E09000016,Havering,2,London Borough,London,2022,4.052555306526508,15,23.171462640224135,True,50
E09000017,Hillingdon,2,London Borough,London,2014,2.97592271908402,10,14.257874608954221,False,22
E09000017,Hillingdon,2,London Borough,London,2018,2.2473711356196406,8,13.072464814022501,False,22
E09000017,Hillingdon,2,London Borough,London,2022,1.9385252670366198,11,23.25735909079834,True,42
E09000018,Hounslow,2,London Borough,London,2014,2.6565875916145223,8,13.933425230485396,False,20
E09000018,Hounslow,2,London Borough,London,2018,2.579082298864069,8,12.87823758742056,False,20
E09000018,Hounslow,2,London Borough,London,2022,1.8902288785965116,7,23.02115370373647,True,55
E09000019,Islington,2,London Borough,London,2014,2.631360073697046,7,13.232748492628591,False,16
E09000019,Islington,2,London Borough,London,2018,2.3886286574637365,8,13.542154476638986,False,16
E09000019,Islington,2,London Borough,London,2022,2.1488711319118687,10,24.960776270221896,True,55
E09000020,Kensington and Chelsea,2,London Borough,London,2014,2.3504050585195895,6,11.387879344503196,False,18
E09000020,Kensington and Chelsea,2,London Borough,London,2015,1.8735756942910367,3,54.5264175257732,False,1
E09000020,Kensington and Chelsea,2,London Borough,London,2016,1.8429732109437793,4,23.26656394453005,False,1
E09000020,Kensington and Chelsea,2,London Borough,London,2018,2.5629196153576106,8,14.427018237041217,False,18
E09000020,Kensington and Chelsea,2,London Borough,London,2022,1.998633102859919,7,25.328219541999815,True,40
E09000021,Kingston upon Thames,2,London Borough,London,2014,3.5175088745936645,8,15.609779363903666,False,16
E09000021,Kingston upon Thames,2,London Borough,London,2015,4.011366706481589,7,71.27122211309106,False,2
E09000021,Kingston upon Thames,2,London Borough,London,2018,2.656856342331004,8,16.706281349749204,False,16
E09000021,Kingston upon Thames,2,London Borough,London,2022,2.2848335711363013,12,25.616325136612023,True,60
E09000022,Lambeth,2,London Borough,London,2014,2.848041607392452,9,12.127522771385678,False,21
E09000022,Lambeth,2,London Borough,London,2015,3.3270315010946714,6,69.58393113342898,False,1
E09000022,Lambeth,2,London Borough,London,2018,2.737138075188636,12,12.61065138030766,False,21
E09000022,Lambeth,2,London Borough,London,2022,2.3724798575568102,10,31.07089506724103,True,76
E09000023,Lewisham,2,London Borough,London,2014,3.2035184156102523,11,13.960445524635393,False,18
E09000023,Lewisham,2,London Borough,London,2018,2.4377255731573144,13,13.50312281153082,False,18
E09000023,Lewisham,2,London Borough,London,2022,2.5662095694763094,9,25.063931209137134,True,42
E09000024,Merton,2,London Borough,London,2014,2.8055413765219086,9,14.54577860954227,False,20
E09000024,Merton,2,London Borough,London,2016,1.7800573666342798,5,47.19252979481509,False,1
E09000024,Merton,2,London Borough,London,2018,2.9179608009928826,10,14.442780266680805,False,20
E09000024,Merton,2,London Borough,London,2022,2.2866918572694845,9,26.437382704970933,True,56
E09000025,Newham,2,London Borough,London,2014,2.023748709847614,10,13.527425415435632,False,20
E09000025,Newham,2,London Borough,London,2015,2.5469992125095486,6,66.34827332843497,False,1
E09000025,Newham,2,London Borough,London,2018,1.7212564227107991,10,12.277317340392106,False,20
